Well Number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
Time (Hours),R.S.18 Carbon Neg. Control,R.S.18 Propionic Acid,R.S.18 L-Glutamate,R.S.18 D-Glucose,R.S.18 Potasium Sorbate,R.S.18 Lactulose,R.S.18 Glycerol,R.S.18 Myo-Inositol,R.S.18 D-Serine,R.S.18 D-Galactose,R.S.18 Oxalate,R.S.18 Malate,R.S.18 L-Methionine,R.S.18 Glycine,R.S.18 Quinic Acid,R.S.18 Sodium Succinate,R.S.18 Dulcitol,R.S.18 Alpha-D-Glucose,R.S.18 L-Xylose,R.S.18 L-Aspartate,R.S.18 D-Fructose,R.S.18 L-Valine,R.S.18 Sodium Pyruvate,R.S.18 Lactate,R.S.18 Citrate,R.S.18 D-Mannose,R.S.18 L-Serine,R.S.18 D-Salicin,R.S.18 D-Cellubiose,R.S.18 Adonitol,R.S.18 D-Glucose-6-phosphate,R.S.18 L-Sorbose,R.S.18 D-Arabitol,R.S.18 L-Lysine,R.S.18 D-Trehalose,R.S.18 Acetate,R.S.18 L-Alanine,R.S.18 L-Arabinose,R.S.18 L-Threonine,R.S.18 4 Hydroxy-Phenylacetate,R.S.18 D-Ribose,R.S.18 Alpha-D-Melebiose,R.S.18 D-Alanine,R.S.18 L-Fucose,R.S.18 L-Asparagine,R.S.18 L-Leucine,R.S.18 D-Aspartate,R.S.18 Inosine,R.S.18 Thymidine,R.S.18 Sucrose,R.S.18 D-Xylose,R.S.18 L-Cysteine,R.S.18 Alpha-D-Lactose,R.S.18 D-Raffinose,R.S.18 D-Asparagine,R.S.18 i-Erythritol,R.S.18 D-Cysteine,R.S.18 L-Isoleucine,R.S.18 L-Cysteate,R.S.18 Adenosine,R.S.18 Xylitol,R.S.18 L-Glutamine,R.S.18 L-Rhamnose,R.S.18 Putrescine,R.S.18 2-Deoxy-D-Ribose,R.S.18 L-Arabitol,R.S.18 D-Glucosamine,R.S.18 L-Phenylalanine,R.S.18 D-Glutamate,R.S.18 D-Arabinose,R.S.18 L-Tryptophan,R.S.18 L-Pyro-Glutamate,R.S.18 Nitrogen Neg. Control,R.S.18 Tyramine,R.S.18 Uridine,R.S.18 Inosine,R.S.18 Histamine,R.S.18 L-Pyro-Glutamate,R.S.18 Cytidine,R.S.18 Adenosine,R.S.18 L-Arginine,R.S.18 Thiourea,R.S.18 Biuret,R.S.18 Guanidine,R.S.18 L-Histidine,R.S.18 Thymine,R.S.18 L-Glutathione,R.S.18 Allantoin,R.S.18 Adenine,R.S.18 Glycine,R.S.18 Beta-Phenylethylamine,R.S.18 L-Proline,R.S.18 D-Methionine,R.S.18 Cytosine,R.S.18 D-Valine,R.S.18 N-Acetyl-D-Glucosamine
0,0.100669,0.0954488,0.098914,0.0955598,0.110719,0.0997368,0.0952398,0.0976402,0.100644,0.106063,0.0992933,0.0958004,0.105771,0.0994891,0.0960688,0.102201,0.105782,0.102406,0.101735,0.0977886,0.100571,0.0953545,0.0985171,0.100475,0.0976587,0.0997697,0.105303,0.109056,0.0999207,0.0992865,0.103438,0.101929,0.0990745,0.114135,0.0977626,0.102488,0.0951405,0.098496,0.110981,0.101622,0.0963716,0.0931486,0.10209,0.0972613,0.0954886,0.0953799,0.0966478,0.0966238,0.0965647,0.0998287,0.0996003,0.101469,0.0957317,0.0944356,0.0960068,0.0997359,0.096885,0.0932588,0.0966829,0.092452,0.0969451,0.106181,0.100568,0.104428,0.111613,0.100481,0.10507,0.10487,0.112266,0.10194,0.10596,0.098139,0.108764,0.11363,0.10881,0.10129,0.102352,0.0992709,0.100212,0.101037,0.105444,0.103068,0.10268,0.102142,0.104158,0.10307,0.105042,0.105086,0.0978968,0.103608,0.108663,0.0970026,0.093984,0.100799,0.100331,0.0987773
0.5,0.114021,0.121685,0.117985,0.121402,0.126835,0.123866,0.123406,0.120352,0.125345,0.121741,0.105773,0.104415,0.110401,0.116796,0.121332,0.123921,0.121664,0.125391,0.122482,0.121325,0.116524,0.109618,0.10367,0.108172,0.107853,0.120439,0.122468,0.12564,0.126253,0.124665,0.124359,0.119444,0.116708,0.120374,0.102384,0.106763,0.108659,0.117784,0.126224,0.12099,0.115915,0.109142,0.117465,0.114475,0.112446,0.115009,0.109341,0.100301,0.114217,0.113006,0.118297,0.11554,0.107853,0.105871,0.106962,0.115635,0.111014,0.108383,0.108832,0.100783,0.117116,0.114218,0.118865,0.116162,0.119716,0.116635,0.111098,0.114347,0.122914,0.111333,0.140417,0.101535,0.119576,0.12784,0.116744,0.1073,0.113642,0.111741,0.105169,0.106174,0.113466,0.107651,0.10948,0.107493,0.127517,0.115606,0.111273,0.108285,0.110481,0.110212,0.109623,0.103463,0.102495,0.117216,0.107785,0.114187
1,0.120689,0.128847,0.121387,0.12888,0.133514,0.132514,0.128621,0.122936,0.125153,0.124555,0.110826,0.109191,0.106395,0.118541,0.121924,0.12291,0.12545,0.124384,0.124685,0.121537,0.122959,0.111696,0.103647,0.109256,0.115898,0.125733,0.12584,0.127953,0.137179,0.136218,0.133035,0.129108,0.126504,0.122138,0.111678,0.106025,0.118129,0.122576,0.127323,0.128517,0.129519,0.120515,0.127502,0.121203,0.119135,0.12086,0.107412,0.105778,0.122323,0.12132,0.123879,0.120604,0.117707,0.11731,0.117399,0.123876,0.115063,0.109808,0.107948,0.108157,0.12481,0.123647,0.12403,0.12121,0.123377,0.125089,0.119506,0.1203,0.117133,0.114371,0.136454,0.109227,0.128129,0.137419,0.122927,0.116972,0.11751,0.115149,0.113631,0.115227,0.118595,0.11301,0.113277,0.112213,0.129473,0.12455,0.119841,0.118368,0.117071,0.118085,0.118872,0.11175,0.113472,0.121922,0.109072,0.115523
1.5,0.123947,0.128418,0.121341,0.131096,0.130934,0.133071,0.129679,0.123309,0.127416,0.12332,0.111858,0.111545,0.106842,0.118166,0.12051,0.127119,0.125881,0.124687,0.126503,0.127249,0.126705,0.117107,0.10987,0.111092,0.117768,0.12862,0.125951,0.128822,0.134262,0.132517,0.134155,0.128369,0.126775,0.125302,0.116755,0.1077,0.119712,0.126464,0.128075,0.126342,0.129264,0.120837,0.128089,0.124237,0.124705,0.12282,0.113659,0.110677,0.126663,0.125414,0.125088,0.121329,0.117446,0.117754,0.116528,0.125004,0.116033,0.111463,0.108661,0.109198,0.129838,0.129393,0.126969,0.126507,0.127371,0.126941,0.121992,0.124875,0.119146,0.11744,0.1383,0.112147,0.133409,0.13652,0.128402,0.121576,0.123246,0.120818,0.118183,0.120426,0.123802,0.115566,0.116183,0.113788,0.136077,0.129139,0.12842,0.122798,0.119747,0.122187,0.122517,0.115255,0.120961,0.127376,0.112711,0.118028
2,0.12637,0.127532,0.122116,0.132725,0.128218,0.133311,0.13299,0.127624,0.129337,0.127226,0.112659,0.114509,0.108654,0.120651,0.122778,0.12965,0.128415,0.130492,0.129955,0.129863,0.127915,0.1188,0.112274,0.114141,0.12,0.132532,0.127627,0.134041,0.137778,0.135626,0.137639,0.131909,0.130719,0.127752,0.120555,0.110416,0.121431,0.128501,0.131396,0.131547,0.133608,0.123941,0.131469,0.127594,0.130365,0.127263,0.115038,0.111342,0.128265,0.129167,0.12895,0.123099,0.120812,0.12142,0.121733,0.129278,0.120174,0.117411,0.112923,0.112879,0.130631,0.132751,0.131441,0.131223,0.132986,0.131133,0.127189,0.128165,0.126007,0.12342,0.141947,0.117006,0.135914,0.13768,0.135272,0.127162,0.128865,0.126364,0.123203,0.126466,0.131025,0.121974,0.122381,0.118245,0.139727,0.132135,0.134298,0.127496,0.122599,0.127637,0.124105,0.119931,0.126052,0.128531,0.1171,0.122205
2.5,0.127704,0.127968,0.124418,0.134747,0.127662,0.134257,0.13529,0.129119,0.131423,0.129787,0.112818,0.121046,0.110487,0.123862,0.124318,0.132426,0.131528,0.134545,0.131588,0.133435,0.129442,0.120366,0.115672,0.11887,0.116142,0.133022,0.130529,0.135499,0.140555,0.13774,0.140982,0.135565,0.135058,0.130984,0.124366,0.112569,0.123253,0.130551,0.134131,0.134043,0.1403,0.128261,0.136193,0.130536,0.136104,0.130142,0.117835,0.112799,0.129656,0.131716,0.133842,0.128939,0.124156,0.126647,0.126811,0.133117,0.124216,0.12426,0.119326,0.117388,0.132645,0.137254,0.139279,0.135175,0.136063,0.139207,0.134057,0.131058,0.138271,0.127722,0.151192,0.123497,0.138878,0.13698,0.145124,0.133869,0.135535,0.132885,0.128282,0.130959,0.140036,0.129219,0.130859,0.122857,0.146467,0.137769,0.144063,0.132227,0.125677,0.129075,0.124743,0.12262,0.133828,0.129548,0.117772,0.125908
3,0.131277,0.127891,0.127498,0.140726,0.125778,0.134475,0.136717,0.129603,0.133741,0.13259,0.113895,0.125458,0.113801,0.128061,0.127862,0.136969,0.134891,0.141045,0.133277,0.138387,0.132222,0.122467,0.120047,0.125663,0.116626,0.135034,0.133099,0.140856,0.146042,0.141553,0.14659,0.138774,0.138738,0.134024,0.126986,0.11573,0.125537,0.13378,0.139422,0.138212,0.147031,0.132338,0.14072,0.134103,0.143955,0.134481,0.120924,0.116415,0.132623,0.136595,0.139309,0.135272,0.129859,0.133005,0.130028,0.137857,0.128569,0.129002,0.125181,0.122718,0.136431,0.143442,0.145306,0.140151,0.140484,0.144485,0.138006,0.135223,0.141192,0.131805,0.161377,0.132562,0.146287,0.135538,0.152872,0.140744,0.147566,0.141377,0.137452,0.134553,0.149696,0.137912,0.13822,0.127293,0.155178,0.143361,0.157986,0.137444,0.127946,0.131346,0.125082,0.127866,0.146025,0.132487,0.120216,0.131269
3.5,0.135171,0.126977,0.12784,0.149791,0.126061,0.135227,0.139872,0.130056,0.137084,0.137079,0.114559,0.131209,0.117102,0.127091,0.13269,0.143844,0.137883,0.149885,0.135702,0.14437,0.135601,0.125232,0.126088,0.131874,0.123434,0.137139,0.136211,0.147314,0.151564,0.146627,0.152959,0.141751,0.141602,0.136938,0.12953,0.118907,0.127599,0.135921,0.143613,0.141715,0.155117,0.136169,0.145078,0.137739,0.152914,0.138648,0.12436,0.122136,0.138993,0.143122,0.145124,0.140369,0.135128,0.138612,0.132387,0.141537,0.1325,0.132567,0.128922,0.12667,0.140717,0.150456,0.15211,0.145809,0.146381,0.148893,0.141553,0.139697,0.142504,0.136662,0.169298,0.142106,0.150862,0.134417,0.163255,0.149814,0.159156,0.148901,0.143857,0.138045,0.159116,0.147309,0.146011,0.131914,0.164225,0.148208,0.174932,0.145807,0.131709,0.135748,0.125703,0.134661,0.159656,0.137287,0.124763,0.136262
4,0.139046,0.127737,0.129874,0.153787,0.127638,0.137788,0.144272,0.132283,0.142899,0.144003,0.116462,0.137182,0.120146,0.125229,0.136437,0.151112,0.140706,0.16154,0.138199,0.151131,0.138748,0.128336,0.13282,0.13869,0.113942,0.141189,0.140205,0.155375,0.156168,0.150705,0.159444,0.144163,0.14398,0.13967,0.131298,0.121329,0.128235,0.133973,0.147494,0.144828,0.164715,0.138624,0.147723,0.140697,0.161355,0.14211,0.12826,0.130796,0.140154,0.152219,0.149591,0.144363,0.138452,0.14217,0.133343,0.143286,0.134896,0.135281,0.132039,0.131272,0.145235,0.15986,0.157957,0.150531,0.150828,0.152413,0.146189,0.143157,0.148429,0.141023,0.177653,0.153382,0.154895,0.135669,0.173608,0.159711,0.171847,0.154259,0.148957,0.141908,0.167521,0.155526,0.154036,0.13581,0.172173,0.155205,0.194313,0.155142,0.135054,0.139041,0.125817,0.143957,0.169159,0.139953,0.130002,0.143409
