Time (Hours),R.S.19 Carbon Neg. Control,R.S.19 Propionic Acid,R.S.19 L-Glutamate,R.S.19 D-Glucose,R.S.19 Potasium Sorbate,R.S.19 Lactulose,R.S.19 Glycerol,R.S.19 Myo-Inositol,R.S.19 D-Serine,R.S.19 D-Galactose,R.S.19 Oxalate,R.S.19 Malate,R.S.19 L-Methionine,R.S.19 Glycine,R.S.19 Quinic Acid,R.S.19 Sodium Succinate,R.S.19 Dulcitol,R.S.19 Alpha-D-Glucose,R.S.19 L-Xylose,R.S.19 L-Aspartate,R.S.19 D-Fructose,R.S.19 L-Valine,R.S.19 Sodium Pyruvate,R.S.19 Lactate,R.S.19 Citrate,R.S.19 D-Mannose,R.S.19 L-Serine,R.S.19 D-Salicin,R.S.19 D-Cellubiose,R.S.19 Adonitol,R.S.19 D-Glucose-6-phosphate,R.S.19 L-Sorbose,R.S.19 D-Arabitol,R.S.19 L-Lysine,R.S.19 D-Trehalose,R.S.19 Acetate,R.S.19 L-Alanine,R.S.19 L-Arabinose,R.S.19 L-Threonine,R.S.19 4 Hydroxy-Phenylacetate,R.S.19 D-Ribose,R.S.19 Alpha-D-Melebiose,R.S.19 D-Alanine,R.S.19 L-Fucose,R.S.19 L-Asparagine,R.S.19 L-Leucine,R.S.19 D-Aspartate,R.S.19 Inosine,R.S.19 Thymidine,R.S.19 Sucrose,R.S.19 D-Xylose,R.S.19 L-Cysteine,R.S.19 Alpha-D-Lactose,R.S.19 D-Raffinose,R.S.19 D-Asparagine,R.S.19 i-Erythritol,R.S.19 D-Cysteine,R.S.19 L-Isoleucine,R.S.19 L-Cysteate,R.S.19 Adenosine,R.S.19 Xylitol,R.S.19 L-Glutamine,R.S.19 L-Rhamnose,R.S.19 Putrescine,R.S.19 2-Deoxy-D-Ribose,R.S.19 L-Arabitol,R.S.19 D-Glucosamine,R.S.19 L-Phenylalanine,R.S.19 D-Glutamate,R.S.19 D-Arabinose,R.S.19 L-Tryptophan,R.S.19 L-Pyro-Glutamate,R.S.19 Nitrogen Neg. Control,R.S.19 Tyramine,R.S.19 Uridine,R.S.19 Inosine,R.S.19 Histamine,R.S.19 L-Pyro-Glutamate,R.S.19 Cytidine,R.S.19 Adenosine,R.S.19 L-Arginine,R.S.19 Thiourea,R.S.19 Biuret,R.S.19 Guanidine,R.S.19 L-Histidine,R.S.19 Thymine,R.S.19 L-Glutathione,R.S.19 Allantoin,R.S.19 Adenine,R.S.19 Glycine,R.S.19 Beta-Phenylethylamine,R.S.19 L-Proline,R.S.19 D-Methionine,R.S.19 Cytosine,R.S.19 D-Valine,R.S.19 N-Acetyl-D-Glucosamine
0,0.129889,0.1327,0.127259,0.116387,0.112467,0.132704,0.130303,0.1263,0.122404,0.136316,0.125264,0.116063,0.131564,0.121668,0.122147,0.126698,0.118929,0.120722,0.101316,0.117767,0.119751,0.0972109,0.123148,0.116257,0.121691,0.12421,0.125021,0.128573,0.117553,0.119715,0.125634,0.131619,0.130609,0.127886,0.121366,0.118289,0.125396,0.121756,0.134094,0.118808,0.120698,0.124278,0.125601,0.122547,0.127285,0.123922,0.12276,0.12516,0.134881,0.125832,0.131138,0.129014,0.117063,0.119917,0.120829,0.120809,0.120779,0.122363,0.125279,0.117676,0.129449,0.129691,0.131795,0.126066,0.120408,0.119309,0.120085,0.124329,0.121743,0.121878,0.127275,0.126158,0.124902,0.136017,0.134859,0.130548,0.124771,0.124904,0.124202,0.124287,0.123714,0.124696,0.122908,0.132324,0.12642,0.13056,0.126919,0.131692,0.127224,0.12973,0.131168,0.128577,0.113374,0.126773,0.124365,0.127412
0.5,0.121315,0.127633,0.123638,0.11283,0.117162,0.124963,0.129259,0.123634,0.121119,0.126765,0.119243,0.113107,0.123491,0.120728,0.117797,0.12374,0.121871,0.121549,0.0976672,0.119298,0.121579,0.0951899,0.12172,0.119928,0.1224,0.116399,0.124379,0.123423,0.124927,0.122276,0.1243,0.126565,0.125668,0.124258,0.122905,0.117321,0.11924,0.120496,0.122972,0.117477,0.127974,0.127151,0.126104,0.123023,0.128064,0.124377,0.122135,0.127241,0.126101,0.126509,0.128776,0.12649,0.122607,0.119853,0.123283,0.121411,0.123846,0.125608,0.125609,0.120262,0.124046,0.126536,0.128244,0.125039,0.126478,0.124512,0.126138,0.12037,0.126928,0.127197,0.122845,0.124639,0.126572,0.134729,0.128824,0.125611,0.12205,0.131564,0.12545,0.127682,0.126772,0.128151,0.125993,0.129718,0.136099,0.128419,0.1283,0.126534,0.125966,0.129831,0.124567,0.126895,0.116036,0.125243,0.120303,0.132402
1,0.12893,0.135974,0.135831,0.122073,0.126716,0.130979,0.135254,0.128747,0.12467,0.12895,0.123209,0.112901,0.123481,0.132292,0.120294,0.122998,0.118651,0.11933,0.0973901,0.118794,0.119956,0.0954326,0.120765,0.118329,0.129964,0.118042,0.123025,0.122168,0.125639,0.120122,0.124342,0.124369,0.122888,0.121763,0.120783,0.116719,0.127509,0.120121,0.120995,0.115483,0.126135,0.124339,0.124807,0.121459,0.125135,0.119649,0.122155,0.12416,0.131217,0.125272,0.127195,0.123775,0.122831,0.120249,0.123185,0.119388,0.122941,0.122983,0.124936,0.121085,0.134771,0.131338,0.125876,0.120416,0.12198,0.121433,0.126257,0.117529,0.123704,0.124534,0.122328,0.131092,0.133245,0.138494,0.132528,0.125699,0.120326,0.130638,0.126218,0.125953,0.126592,0.127054,0.129871,0.13578,0.141797,0.136941,0.136697,0.131512,0.130963,0.13273,0.127497,0.133511,0.122737,0.132966,0.127828,0.135137
1.5,0.136835,0.140175,0.141357,0.12939,0.13444,0.139044,0.141882,0.135082,0.131231,0.135394,0.12991,0.119369,0.123503,0.137917,0.129586,0.132414,0.128305,0.128558,0.104217,0.126225,0.125215,0.0960291,0.120175,0.118163,0.136075,0.131815,0.131659,0.12643,0.127722,0.123007,0.125571,0.123742,0.123851,0.120887,0.12067,0.116106,0.133792,0.129953,0.125043,0.118557,0.126477,0.123682,0.125459,0.122307,0.125773,0.120022,0.122529,0.129745,0.136527,0.134743,0.132618,0.126968,0.123792,0.122345,0.124298,0.119949,0.123259,0.125244,0.131498,0.128993,0.13928,0.142424,0.134718,0.126671,0.125718,0.123082,0.127018,0.121113,0.128931,0.131498,0.13326,0.136544,0.136727,0.146409,0.142109,0.13581,0.127061,0.137158,0.133583,0.134215,0.136805,0.136537,0.138355,0.138815,0.145575,0.140508,0.142606,0.135997,0.135994,0.138366,0.134995,0.139816,0.130429,0.139788,0.133118,0.1375
2,0.13668,0.140392,0.142652,0.13046,0.133806,0.13702,0.142453,0.134436,0.133014,0.139217,0.133831,0.121522,0.124227,0.140384,0.131118,0.132982,0.128721,0.129447,0.105125,0.127745,0.127125,0.0973639,0.119687,0.119723,0.13658,0.129887,0.134416,0.127514,0.129599,0.125252,0.128118,0.127667,0.127187,0.122326,0.121542,0.115415,0.135873,0.131924,0.127422,0.121336,0.129068,0.123447,0.12446,0.124589,0.127811,0.122977,0.126537,0.13355,0.138303,0.136956,0.13506,0.129967,0.125306,0.12457,0.125605,0.122159,0.127164,0.12787,0.133435,0.1332,0.144229,0.146357,0.137599,0.1304,0.131275,0.128633,0.133463,0.126784,0.133186,0.135261,0.136039,0.141543,0.141495,0.149468,0.145502,0.138822,0.12786,0.139658,0.138135,0.138462,0.142137,0.139368,0.14554,0.138953,0.14718,0.141412,0.144024,0.137092,0.137592,0.139895,0.136409,0.143329,0.132397,0.140984,0.137394,0.140625
2.5,0.136449,0.139753,0.140107,0.12733,0.133661,0.134312,0.140531,0.133066,0.13112,0.137963,0.133656,0.121015,0.124418,0.141576,0.130374,0.132261,0.128002,0.129686,0.105711,0.126931,0.1278,0.0971491,0.119483,0.119836,0.137877,0.130536,0.135934,0.127134,0.131677,0.127277,0.129332,0.130333,0.129096,0.123747,0.122144,0.115118,0.135895,0.132389,0.128614,0.121464,0.130738,0.124688,0.13702,0.125895,0.131036,0.123701,0.126836,0.132518,0.137889,0.137035,0.135753,0.131749,0.127706,0.127194,0.128097,0.123475,0.12989,0.130251,0.133987,0.132178,0.149325,0.149094,0.139461,0.131879,0.133746,0.130931,0.136606,0.129922,0.13527,0.137682,0.136418,0.146434,0.145774,0.151171,0.149097,0.143175,0.129895,0.141993,0.141121,0.141955,0.146134,0.142454,0.150014,0.137107,0.147687,0.142517,0.146545,0.138831,0.137948,0.140719,0.136661,0.145943,0.134178,0.14463,0.14097,0.138686
3,0.138901,0.137383,0.138875,0.126904,0.136603,0.136673,0.142404,0.138443,0.135439,0.140026,0.135808,0.12483,0.127259,0.142189,0.131031,0.134165,0.12972,0.132979,0.109507,0.130361,0.130565,0.0987154,0.120124,0.119899,0.140774,0.131144,0.138506,0.13045,0.133692,0.129769,0.131108,0.13184,0.131634,0.126556,0.126399,0.115015,0.135329,0.134119,0.13153,0.1237,0.132911,0.127769,0.129854,0.128954,0.134649,0.125145,0.128117,0.135187,0.137345,0.138214,0.136466,0.134221,0.129967,0.130029,0.131402,0.125498,0.13195,0.132667,0.139564,0.13578,0.152557,0.152281,0.141604,0.133165,0.135649,0.133177,0.138958,0.133068,0.137346,0.140375,0.139702,0.149945,0.152591,0.153698,0.15257,0.145342,0.131333,0.145481,0.143903,0.145074,0.150804,0.146947,0.155199,0.137208,0.147719,0.142777,0.148564,0.140492,0.138221,0.142063,0.136545,0.14921,0.136079,0.14982,0.146711,0.141877
3.5,0.14137,0.13873,0.140883,0.1295,0.141917,0.141376,0.146387,0.145051,0.1419,0.145542,0.138285,0.127329,0.129957,0.141503,0.133184,0.136458,0.131472,0.136958,0.112507,0.13336,0.133169,0.0997594,0.123188,0.121487,0.141949,0.133075,0.142999,0.1333,0.135384,0.132282,0.133148,0.133686,0.134898,0.131394,0.130782,0.116725,0.134007,0.136231,0.132209,0.12427,0.133997,0.13048,0.132461,0.1321,0.139655,0.12933,0.130532,0.140916,0.135127,0.138978,0.138467,0.136873,0.131624,0.132697,0.134514,0.127101,0.133445,0.136629,0.143144,0.13827,0.150975,0.155477,0.142595,0.133782,0.137211,0.135118,0.140719,0.135252,0.139042,0.144598,0.144455,0.154375,0.151005,0.154554,0.153733,0.147466,0.130975,0.147738,0.145346,0.147848,0.155913,0.150621,0.159745,0.138073,0.14631,0.142132,0.149258,0.141043,0.136976,0.142388,0.136652,0.152717,0.138396,0.154916,0.151463,0.149585
4,0.141459,0.13822,0.143157,0.129597,0.1464,0.141317,0.147725,0.147203,0.145198,0.148988,0.137098,0.126455,0.132551,0.138207,0.134729,0.13881,0.132364,0.138137,0.11288,0.135307,0.136665,0.100289,0.125882,0.124735,0.14314,0.132877,0.145182,0.135296,0.135212,0.133234,0.134392,0.136722,0.138242,0.135886,0.134576,0.119594,0.133768,0.13831,0.131221,0.123333,0.133631,0.132495,0.136626,0.134487,0.14593,0.13262,0.132939,0.145121,0.134761,0.14004,0.139039,0.137357,0.132409,0.134156,0.13616,0.128119,0.134032,0.139194,0.144239,0.14045,0.14865,0.157713,0.143619,0.134348,0.138746,0.1341,0.141446,0.136308,0.139623,0.146514,0.147857,0.1565,0.147343,0.156107,0.153652,0.148993,0.130562,0.148473,0.146382,0.149073,0.158429,0.152525,0.162108,0.140728,0.144243,0.142389,0.148235,0.141573,0.137689,0.143363,0.138736,0.157193,0.141727,0.158855,0.154827,0.153414
4.5,0.140648,0.139522,0.144269,0.129714,0.151052,0.139446,0.14836,0.147257,0.145942,0.14947,0.1362,0.124813,0.13712,0.13636,0.134031,0.139519,0.13197,0.139051,0.111508,0.135951,0.140056,0.100596,0.129628,0.129958,0.141352,0.132333,0.145303,0.136822,0.133804,0.132134,0.136422,0.138238,0.141097,0.143998,0.137669,0.124387,0.133724,0.137828,0.129201,0.122963,0.132552,0.134873,0.138955,0.136067,0.153545,0.136563,0.134429,0.148354,0.136213,0.141139,0.140089,0.138716,0.131607,0.133574,0.137819,0.130166,0.134631,0.143019,0.145927,0.141871,0.147294,0.160464,0.144914,0.135262,0.139867,0.133723,0.142731,0.138371,0.140597,0.151044,0.153525,0.158238,0.147989,0.160125,0.155453,0.151171,0.131401,0.15121,0.148365,0.152675,0.165118,0.156344,0.16654,0.144173,0.143999,0.144454,0.14991,0.145122,0.139926,0.14818,0.141795,0.163916,0.145299,0.163726,0.158326,0.160885
