Dataset,r,c1,c2
B5,33.413286416624274,-1.59951523051636,4.344872692997856
A8,28.34629489601083,-2.016661086460733,5.46234851419622
G7,66.37780865371508,-1.5130418629784228,4.1125580682652085
A9,34.93055960243181,-1.9525550327635652,5.298242296386164
F7,39.92033790631879,-1.6445252076421812,4.468268052194388
G8,63.26698670939964,-1.996260891629437,5.423909279629662
D12,35.53404568332501,-1.449386332547634,3.938805016808184
H12,0.27758434869325466,244.9175708188481,4.577350137471713e-47
E5,37.04815473604913,-1.629100548119402,4.42370041927216
B9,38.49571126259914,-1.6261482973834926,4.418413060981168
C2,22.58189408316625,-1.4035008114177188,3.812949102913383
D2,50.054745124474756,-2.0374743145098995,5.533306160956706
E3,63.43126634706673,-1.8912828646515072,5.138975649548659
B6,41.820870765934195,-1.6784905088596536,4.560769377802677
"R.S.6 Alpha-D-Glucose, 0.3%_6",45.78287665411225,-1.5682530557297276,4.262243704810967
"R.S.6 D-Salicin, 0.3%_6",44.010870776534446,-1.8762220822589455,5.097588494941487
"R.S.6 Glycerol, 0.3%_6",19.63525627070212,-1.4823626398245295,4.025321826710928
"R.S.6 L-Rhamnose, 0.3%_6",34.79896859232572,-1.8774014488988804,5.097570666595502
"R.S.6 Alpha-D-Melebiose, 0.3%_6",37.009550904351656,-1.6683763126021893,4.533155691452939
"R.S.6 Myo-Inositol, 0.3%_6",30.850548160491673,-1.7784930875933675,4.831037345778267
"R.S.6 D-Glucosamine, 0.3%_6",39.89350574843676,-1.678179314908045,4.5604228181153355
"R.S.6 L-Glutathione, 0.2%_6",78.87029355127497,-2.1879035114635093,5.976220122596672
"R.S.6 D-Galactose, 0.3%_6",5.21360831297566,-1.061047807878594,2.8834694251584763
"R.S.6 L-Histidine, 0.3%_6",-0.46741258215959824,-5.650290011523427,249.28008446170233
"R.S.6 Thymidine, 0.3%_6",0.058640109445676325,1621.4929801874985,2.3680396584576406e-308
"R.S.6 Cytidine, 0.3%_6",42.1651956819622,-1.4940779859310713,4.0607142611138425
"R.S.6 D-Mannose, 0.3%_6",28.164242461765795,-1.488292960684858,4.04428741093352
"R.S.6 Inosine, 0.3%_6",36.41985605507796,-1.8172603055169505,4.937591980923992
"R.S.6 L-Arabinose, 0.3%_6",52.2600551324209,-1.7358922184840933,4.7175103702652885
"R.S.6 D-Ribose, 0.3%_6",23.845124558119718,-1.5585668226620286,4.2340953094516465
"R.S.6 Sodium Pyruvate, 0.3%_6",51.47854418371282,-2.3121487448945923,6.277239795574788
"R.S.6 D-Glucose-6-phosphate, 0.3%_6",35.71089341667997,-1.5201976417431529,4.131588565832673
"R.S.6 Adenosine, 0.2%_6",58.5685426051756,-2.054171202470378,5.612308000120016
"R.S.6 Adenine, 0.2%_6",24.616892810619774,-1.7976928196898276,4.898222444525189
Alpha D Lactose_10,176.91517593293406,-2.400111703845479,6.522797115983835
D Galactose_10,28.4758883012895,-1.4607464562210875,4.3105081633718205
Alpha D Glucose_10,66.62257172230197,-1.5371781104629472,4.391906265280205
Adenine_10,2.0731774253516027,28.804040231158616,2.4928165535090656e-05
D Glucosamine_10,21.00538368597948,-1.93083086858666,5.19885964064773
L Arginine_10,47.93592323334399,-2.1533299875129823,5.842790495510288
N- acetyl D Glucosamine_10,28.57684604031967,0.6745140653810117,1.9380141544609868
D Mannose_10,16.514684197432985,-1.6448341665630588,4.45001779194442
L Arabinose_10,101.08313491699927,-2.236745525658827,6.077483867149913
D Xylose_10,80.27618141176781,-2.1841212796407796,5.933818903201971
Adenosine.1_10,78.0765889169669,-2.0671375313145606,5.616199240939411
Lactate_10,22.817308544639637,-1.7767714429626023,4.811558645699874
R.S.18 D-Serine_18,44.94559035398746,-2.0408030613359265,5.538673410878851
R.S.18 Histamine_18,13.976125757743244,-1.608695955735501,4.358650442943855
R.S.18 Guanidine_18,70.15338987653048,-2.19204225966308,5.9542533881327735
R.S.18 Sodium Succinate_18,16.718241223960582,-1.7692752341218265,4.786190739764836
R.S.18 L-Glutathione_18,23.250536630432357,-1.584005485614414,4.301662791274473
R.S.18 L-Histidine_18,26.631585166973174,-1.6669819069041047,4.524182794910047
R.S.18 Cytidine_18,11.973455062478415,-1.422025064046987,3.85258975746872
R.S.18 Cytosine_18,19.12892048263809,-1.7022686746790958,4.610929948463064
R.S.18 L-Arginine_18,20.28788994412875,-1.6094159566642412,4.366927491477106
R.S.18 Sodium Pyruvate_18,30.556345193887346,-2.013698037081618,5.473702680043793
R.S.18 D-Salicin_18,21.451013420685854,-1.7709213076253394,4.802477372162175
R.S.18 Adenosine_18,48.456470079030346,-1.964611527372333,5.335872036892513
R.S.18 Adenosine.1_18,23.15134585737163,-1.6790888947466285,4.554552843495699
R.S.18 D-Fructose_18,1.1629676748114173,13.743796240083778,9.904417279359829e-05
R.S.19 Glycine.1_19,8.742042005248527,-0.7939625245176045,2.5778563228477114
R.S.19 L-Pyro-Glutamate.1_19,9.653011235263254,-1.0911702439792452,2.9757310913085417
R.S.19 Thiourea_19,13.51192133713149,-1.622572284131451,4.41170724732163
R.S.19 L-Glutathione_19,8.628439132193435,-1.045600713492275,2.861630351451546
R.S.19 Histamine_19,12.726853215623995,-1.214650076674213,3.3029116788356547
R.S.19 L-Arginine_19,12.988966625349775,-1.1061668130072193,3.2922388626295693
