Dataset,r,c1,c2
B5,0.010060431070148347,-187.70814648215088,8.87154232543538e+41
A8,-0.042968577953198785,15.673812819672282,2.257302891915937e-07
G7,0.002687029773829539,-147.95768535195586,2.291970258592953e+35
A9,0.009047683793580038,-96.22367687442706,21558829556.708817
F7,0.010913924009645574,-227.771135512988,9.298134947317932e+46
G8,0.007850673674180611,-246.2780035403972,1.7500748735469016e+35
D12,0.007201276563675528,-83.62298243367391,4.0338499154958116e+18
H12,-115.95156579114837,-2.858993858957545,7.834520829563201
E5,33.87558581477868,-1.626535208708272,4.421520669577845
B9,0.01251051721667614,-214.03487522858714,1.2278338288228864e+42
C2,0.009974921102024135,-54.01529910708305,87703356913.89076
D2,0.017576666472055764,-1420.7299491766012,2.388281680796112e+230
E3,0.012439896573657372,-502.22401794354056,1.8789271836260558e+89
B6,0.009416584026913699,-150.4592978899184,6.046187924981426e+26
"R.S.6 Alpha-D-Glucose, 0.3%_6",1.0039788558383562,-12.528162727598664,50611.684823015334
"R.S.6 D-Salicin, 0.3%_6",-0.6013100843431347,11.977535920231311,0.00018658299915942316
"R.S.6 Glycerol, 0.3%_6",0.011885668467441561,-123.02679022187058,9.43260433039718e+27
"R.S.6 L-Rhamnose, 0.3%_6",-0.012730784071448278,27.127736235307275,1.1561155451908202e-13
"R.S.6 Alpha-D-Melebiose, 0.3%_6",-0.00035967516612787567,-79.34359274407616,96015171042139.48
"R.S.6 Myo-Inositol, 0.3%_6",0.004603692823508212,-257.476395472343,1.6667581761198987e+53
"R.S.6 D-Glucosamine, 0.3%_6",-0.004139420784671223,-65.80069253664465,20973766481.347065
"R.S.6 L-Glutathione, 0.2%_6",-63.19076135916689,-2.2080595773664786,5.500545389192458
"R.S.6 D-Galactose, 0.3%_6",-14.086202114400159,-1.0307587803448175,2.682913341761441
"R.S.6 L-Histidine, 0.3%_6",0.00655419656651402,-12.394310942438482,12788.484734515736
"R.S.6 Thymidine, 0.3%_6",-163.18562318940647,-2.226679270113774,5.822259811951547
"R.S.6 Cytidine, 0.3%_6",0.001137484413282435,-49.19681856658415,24498052.415439032
"R.S.6 D-Mannose, 0.3%_6",0.20623048621560663,-60.66638640424317,3.582450898781301e+23
"R.S.6 Inosine, 0.3%_6",-0.004316783689343533,-114.41336464203346,1.011410219271067e+20
"R.S.6 L-Arabinose, 0.3%_6",0.0009454239140531042,-112.59763382776501,8.398172666473821e+18
"R.S.6 D-Ribose, 0.3%_6",0.003458436940581383,-155.1669848025585,1.3112388351204352e+37
"R.S.6 Sodium Pyruvate, 0.3%_6",-0.0062058047723750264,165.07539620463518,2.6542880163954024e-51
"R.S.6 D-Glucose-6-phosphate, 0.3%_6",2.6742429260505123,-4.232252999607833,46.245149065924906
"R.S.6 Adenosine, 0.2%_6",15.620537527499286,-1.7707900241042958,5.420665447238766
"R.S.6 Adenine, 0.2%_6",0.11370204266641641,-68.80449033355387,1.4763459677463278e+24
Alpha D Lactose_10,0.004387709221249631,-1190.8593850258826,1.9995194344183635e+189
