Dataset,r,c0,c1
B5,33.413286416624274,4.344872692997856,-1.59951523051636
A8,28.34629489601083,5.46234851419622,-2.016661086460733
G7,66.37780865371508,4.1125580682652085,-1.5130418629784228
A9,34.93055960243181,5.298242296386164,-1.9525550327635652
F7,39.92033790631879,4.468268052194388,-1.6445252076421812
G8,63.26698670939964,5.423909279629662,-1.996260891629437
D12,35.53404568332501,3.938805016808184,-1.449386332547634
H12,0.27758434869325466,4.577350137471713e-47,244.9175708188481
E5,37.04815473604913,4.42370041927216,-1.629100548119402
B9,38.49571126259914,4.418413060981168,-1.6261482973834926
C2,22.58189408316625,3.812949102913383,-1.4035008114177188
D2,50.054745124474756,5.533306160956706,-2.0374743145098995
E3,63.43126634706673,5.138975649548659,-1.8912828646515072
B6,41.820870765934195,4.560769377802677,-1.6784905088596536
"R.S.6 Alpha-D-Glucose, 0.3%_6",45.78287665411225,4.262243704810967,-1.5682530557297276
"R.S.6 D-Salicin, 0.3%_6",44.010870776534446,5.097588494941487,-1.8762220822589455
"R.S.6 Glycerol, 0.3%_6",19.63525627070212,4.025321826710928,-1.4823626398245295
"R.S.6 L-Rhamnose, 0.3%_6",34.79896859232572,5.097570666595502,-1.8774014488988804
"R.S.6 Alpha-D-Melebiose, 0.3%_6",37.009550904351656,4.533155691452939,-1.6683763126021893
"R.S.6 Myo-Inositol, 0.3%_6",30.850548160491673,4.831037345778267,-1.7784930875933675
"R.S.6 D-Glucosamine, 0.3%_6",39.89350574843676,4.5604228181153355,-1.678179314908045
"R.S.6 L-Glutathione, 0.2%_6",78.87029355127497,5.976220122596672,-2.1879035114635093
"R.S.6 D-Galactose, 0.3%_6",5.21360831297566,2.8834694251584763,-1.061047807878594
"R.S.6 L-Histidine, 0.3%_6",-0.46741258215959824,249.28008446170233,-5.650290011523427
"R.S.6 Thymidine, 0.3%_6",0.058640109445676325,2.3680396584576406e-308,1621.4929801874985
"R.S.6 Cytidine, 0.3%_6",42.1651956819622,4.0607142611138425,-1.4940779859310713
"R.S.6 D-Mannose, 0.3%_6",28.164242461765795,4.04428741093352,-1.488292960684858
"R.S.6 Inosine, 0.3%_6",36.41985605507796,4.937591980923992,-1.8172603055169505
"R.S.6 L-Arabinose, 0.3%_6",52.2600551324209,4.7175103702652885,-1.7358922184840933
"R.S.6 D-Ribose, 0.3%_6",23.845124558119718,4.2340953094516465,-1.5585668226620286
"R.S.6 Sodium Pyruvate, 0.3%_6",51.47854418371282,6.277239795574788,-2.3121487448945923
"R.S.6 D-Glucose-6-phosphate, 0.3%_6",35.71089341667997,4.131588565832673,-1.5201976417431529
"R.S.6 Adenosine, 0.2%_6",58.5685426051756,5.612308000120016,-2.054171202470378
"R.S.6 Adenine, 0.2%_6",24.616892810619774,4.898222444525189,-1.7976928196898276
Alpha D Lactose_10,176.91517593293406,6.522797115983835,-2.400111703845479
D Galactose_10,28.4758883012895,4.3105081633718205,-1.4607464562210875
Alpha D Glucose_10,66.62257172230197,4.391906265280205,-1.5371781104629472
