,t,x,y
0,0.0,-1.3783334043196622,-1.4694517360449022
1,0.01,-1.3433533632667471,-1.4139126613818505
2,0.02,-1.5349385808311733,-1.4164780170586968
3,0.03,-1.4278159506139607,-1.4168902730275243
4,0.04,-1.2876487579629836,-1.3562936895026196
5,0.05,-1.487014438766138,-1.5150009926027186
6,0.06,-1.1688426581276274,-1.5156532222056625
7,0.07,-1.3960691508333858,-1.394169846359981
8,0.08,-1.3997104194644128,-1.3960114694799923
9,0.09,-1.446073483910683,-1.4737041786927476
10,0.1,-1.4591731859858115,-1.3803553586600885
11,0.11,-1.5033624770864955,-1.5210924534065557
12,0.12,-1.4517403930069857,-1.4869384637998755
13,0.13,-1.377471594807987,-1.3716670326708802
14,0.14,-1.2598666815099389,-1.4386949766391015
15,0.15,-1.383331287746684,-1.4449549118761313
16,0.16,-1.2564062359819617,-1.4518909816603436
17,0.17,-1.224492112137905,-1.4376997586468603
18,0.18,-1.1473227264082186,-1.4353066975368618
19,0.19,-1.178678490167518,-1.4685418629183624
20,0.2,-1.6851393728590023,-1.4745418000747232
21,0.21,-1.457522721644621,-1.417044599852812
22,0.22,-1.627125177781907,-1.5234933603611662
23,0.23,-1.634183026995009,-1.4243690000952585
24,0.24,-1.5263882059227174,-1.4814219866293412
25,0.25,-1.3265254719039288,-1.401621783345908
26,0.26,-1.2075732642373573,-1.4782175302327014
27,0.27,-1.6148063676830267,-1.4304199736739676
28,0.28,-1.4906936752931916,-1.5017941949664344
29,0.29,-1.4112798868620176,-1.4071441834929557
30,0.3,-1.3068063912980128,-1.4257312829063267
31,0.31,-1.3377825146321343,-1.5278710437073408
32,0.32,-1.5255072624800985,-1.4333372899786996
33,0.33,-1.544989058121364,-1.5659603435559515
34,0.34,-1.3313115324598035,-1.4924025687865172
35,0.35000000000000003,-1.4875286046819278,-1.414812049073242
36,0.36,-1.413256422578396,-1.5514368169367865
37,0.37,-1.5454941382935767,-1.5105280357122908
38,0.38,-1.4815321810930762,-1.412886568155263
39,0.39,-1.5936489343758464,-1.431306235201305
40,0.4,-1.4844290548260002,-1.520690482040873
41,0.41000000000000003,-1.375532687896824,-1.5647155147403957
42,0.42,-1.423048648330458,-1.4459296999836817
43,0.43,-1.400033553078267,-1.4869778570325607
44,0.44,-1.3497762108486417,-1.442873358567582
45,0.45,-1.3584795587554463,-1.4397907661666318
46,0.46,-1.4649113976791357,-1.5273792156770538
47,0.47000000000000003,-1.486117325234186,-1.5312524058282866
48,0.48,-1.3038016557489398,-1.4914212457472802
49,0.49,-1.2718317053610644,-1.511526789925066
50,0.5,-1.5812321218368628,-1.49025347438361
51,0.51,-1.4648765988102286,-1.4188676333180599
52,0.52,-1.6516662738322627,-1.4574081881019083
53,0.53,-1.1459740713846074,-1.5672734823471792
54,0.54,-1.4705144672129244,-1.4359562480541084
55,0.55,-1.3805489087247438,-1.5208030148675193
56,0.56,-1.6041083897826836,-1.4480518979889547
57,0.5700000000000001,-1.401613045907637,-1.4760184324367844
58,0.58,-1.435106379542378,-1.4850395602977104
59,0.59,-1.3925332072292353,-1.4720920098855326
60,0.6,-1.5335527496326886,-1.4586844245808228
61,0.61,-1.334725172628318,-1.5640889716000836
62,0.62,-1.236352797491576,-1.4962213290293405
63,0.63,-1.4659765553043325,-1.486501763614842
64,0.64,-1.2527711219019024,-1.4610074318896416
65,0.65,-1.4291482107680087,-1.5097971116486257
66,0.66,-1.2477239892582521,-1.514398557716365
67,0.67,-1.1160293510352703,-1.481915334225791
68,0.68,-1.5443862832824282,-1.4405109970568246
69,0.6900000000000001,-1.25587269083955,-1.4812436493492238
70,0.7000000000000001,-1.1914201060793945,-1.4554456144821066
71,0.71,-1.6494894406049294,-1.4554966023379772
72,0.72,-1.44985843580775,-1.466737394136017
73,0.73,-1.490686139163218,-1.4410424280941938
74,0.74,-1.4584073301846197,-1.501426096471388
75,0.75,-1.4463285530797683,-1.5505843356757985
76,0.76,-1.4601937918765207,-1.5069244702644258
77,0.77,-1.2874554779899,-1.4781066623814947
78,0.78,-1.363634874126301,-1.460851051386845
79,0.79,-1.5229985034036189,-1.4869971497715961
80,0.8,-1.5455591437688896,-1.468645708431502
81,0.81,-1.420553735532403,-1.5034923078707094
82,0.8200000000000001,-1.2746254971737059,-1.6156409451351725
83,0.8300000000000001,-1.2537814471502662,-1.5027051618639884
84,0.84,-1.6010515153553861,-1.5355082798991198
85,0.85,-1.4392191618196448,-1.537369526881391
86,0.86,-1.2425331495902996,-1.5235315407870975
87,0.87,-1.4907480227548175,-1.5519384598238106
88,0.88,-1.5348112826836646,-1.4521583707118584
89,0.89,-1.6863682515327876,-1.5351146987930713
90,0.9,-1.6211573902074865,-1.5213578816318591
91,0.91,-1.3509502117547036,-1.5165392355657996
92,0.92,-1.2864000048907365,-1.5431528557251397
93,0.93,-1.201995013365017,-1.4648667024161939
94,0.9400000000000001,-1.4949900575884396,-1.5464436444855243
95,0.9500000000000001,-1.3754743569372538,-1.4814791041500133
96,0.96,-1.5713016552050023,-1.4821230358216089
97,0.97,-1.3561067188187699,-1.562459030975182
98,0.98,-1.4862481606943743,-1.5019991927675571
99,0.99,-1.413665972679219,-1.6099552546545939
100,1.0,-1.2865440780914605,-1.5843812351690176
101,1.01,-1.5297205994156418,-1.5809119016526654
102,1.02,-1.3972476093086836,-1.6323476478155665
103,1.03,-1.339326134187014,-1.6153022660305627
104,1.04,-1.499499125557932,-1.5873764434475148
105,1.05,-1.3174731572263358,-1.5424728475006062
106,1.06,-1.4093327219685423,-1.6021682201484204
