Complexity,Loss,Equation
1,4.898888,"11.242112"
3,2.6361906e-5,"x * 0.99999946"
5,2.6361677e-5,"(0.9999947 * x) + 5.9691305e-5"
6,2.6361346e-5,"(sin(x) * 3.0069014e-5) + x"
7,2.6313486e-5,"(sin(exp(x)) * 0.00031002285) + x"
8,2.6312757e-5,"x + (sin(sin(exp(x))) * 0.00035474592)"
9,2.6281237e-5,"(sin(exp(x) * 0.9999997) * 0.0003529784) + x"
11,2.6243297e-5,"x + ((exp(cos(x)) * 0.00051907444) * sin(exp(x)))"
13,2.624327e-5,"x + ((exp(cos(x + 0.096181385)) * 0.00051838224) * sin(exp(x)))"
14,2.6234991e-5,"(sin(cos(y + 0.9993331) + inv(sin(exp(x)))) * 0.00047589294) + x"
16,2.6217946e-5,"sin(cos(inv(sin(exp(x))) + exp(x * sin(y))) * 0.00047589294) + x"
