Complexity,Loss,Equation
1,1.3068196,"0.027716657"
3,1.1481551,"16.383347 / y"
4,0.3165279,"cube(26.664782 / y)"
5,0.27888972,"-2.5304506 - (-112.89906 / y)"
6,0.1779585,"(22460.08 / cube(y)) + -0.41512585"
7,0.072700314,"((1540.8828 / x) / y) + -3.097757"
9,0.05922286,"((22.675074 - (-1304.5 / x)) / y) + -3.1323779"
13,0.04875797,"(-5.5045404 - ((-3247.3289 / (x + 5.793539)) / (y + 4.1717834))) + 1.6351372"
15,0.043644786,"-6.524602 - (((-6709.6216 / (x + 9.154251)) / (y + 12.193542)) - (y * 0.017367613))"
17,0.041336633,"-6.3639555 - ((((-6709.6216 / (x + 9.190713)) / (y + 12.149254)) - (y * 0.012442172)) + -0.09232502)"
