Complexity,Loss,Equation
1,1.3068196,"0.027716752"
3,1.1481551,"16.380896 / y"
4,0.3165279,"cube(26.664825 / y)"
5,0.27888972,"(112.89945 / y) - 2.530459"
6,0.17705098,"cube(27.95317 / y) + -0.40295112"
7,0.04876255,"(x * -0.27159274) + (136.5909 / y)"
9,0.0044728206,"((y / (x / -1.9412506)) + 19.906677) - x"
11,0.00382357,"(y / ((x / -2.0366805) - 0.18935339)) + (20.008518 - x)"
13,0.0038213627,"(((y - -0.19984373) / ((x / -2.0417168) - 0.2072164)) - x) + 20.036041"
24,0.0038171138,"(((y / (x / -1.998647)) - -18.936974) + 1.1544547) - ((square(y) / (y - square(square(x + 1.429228)))) + (x * 1.0046409))"
