Complexity,Loss,Equation
1,6.1546993,"1.2699808"
3,1.3554301,"x + -9.971911"
5,1.2766486,"(y * -0.24458532) + 12.890678"
6,0.38887984,"(square(x) / y) + -1.9104925"
7,0.05076552,"((y / x) * -1.9422058) + 9.911337"
9,0.0501548,"((-2.0338202 / (x - -0.3701944)) * y) - -10.009125"
11,0.050154746,"((-2.0315297 - (-0.7036968 / x)) * (y / x)) - -10.008729"
16,0.05015341,"((y / x) * (-2.0257564 - ((-0.66635615 / x) + cube(-3.4174573 / y)))) - -9.996948"
18,0.0501521,"((((0.32878268 - (x + cube(-5.868995 / y))) / (x / y)) / x) + 4.934953) * 2.0260594"
20,0.05015209,"(4.934953 + (((0.32878268 - (x + cube(-5.868995 / (y - 0.09506853)))) / (x / y)) / x)) * 2.0260594"
22,0.05009335,"((((24.11142 / y) / (2126.1143 - square(y))) - (((x + -0.3865047) / (x / y)) / x)) + 4.9078364) * 2.0413942"
24,0.05009331,"((((24.11142 / (y + 0.029619819)) / (2126.1143 - square(y))) - (((x + -0.3865047) / (x / y)) / x)) + 4.9078364) * 2.0413942"
25,0.050012007,"(((0.3653257 / (-1.4986658 - (square(y) - (cube(x) * 0.23694548)))) - (((x + -0.32537034) / (x / y)) / x)) + 4.9353385) * 2.0239835"
27,0.049944513,"((4.9353385 + ((x / y) / (-1.4986658 - (square(y) - (cube(x) * 0.23694548))))) - (((x + -0.32537034) / (x / y)) / x)) * 2.0239835"
29,0.04987797,"((((21.974325 / (y + 0.02493158)) / (-1.4986658 - (square(y) - (cube(x) * 0.23694548)))) - (((x + -0.32537034) / (x / y)) / x)) + 4.9353385) * 2.0239835"
