Complexity,Loss,Equation
1,1.3068196,"0.027543608"
3,1.1481551,"16.383984 / y"
4,0.3165279,"cube(26.664936 / y)"
5,0.27888972,"(112.899734 / y) + -2.5304666"
6,0.17705098,"cube(27.951967 / y) - 0.402916"
7,0.04876255,"(136.591 / y) + (x * -0.2715939)"
9,0.039907854,"(693.8156 / ((x / 0.35631168) + y)) + -8.84822"
11,0.03823535,"(693.7106 / ((x / 0.37217194) + (y - -1.7945346))) + -8.795191"
12,0.024058148,"(((cube(x) * -0.048682332) + 695.3635) / (y + 28.84262)) + -8.160107"
14,0.015288422,"(((-0.03294367 / y) * cube(x)) + -16.669184) + (1849.6221 / (y + 56.124912))"
16,0.013110125,"(-24.372135 + (3636.5967 / (y + 96.23028))) + (((x * cube(x)) * -0.0019285263) / y)"
18,0.012868304,"((3636.5996 / (y + 96.16464)) + (((cube(x) * x) * -0.0019974706) / (y + 0.8858692))) + -24.373999"
20,0.012671494,"((3636.5784 / (y + 98.24975)) + (((cube(x) * x) * (-0.0020198876 / (y + 2.2864878))) + -24.801138)) + 0.76669985"
22,0.012049004,"(((((((y * -0.010893329) + -0.70041496) * (x * 0.264834)) / y) * cube(x)) + 4446.295) / (y + 111.05697)) + -27.074718"
24,0.011981285,"(((((cube(x) * (x * 0.25495172)) / y) * ((y * -0.011845091) + -0.7073221)) + 4446.2954) / ((y - -0.54684865) + 111.04893)) + -26.982357"
26,0.0088602435,"((-4.1011252 / (x - 4.855236)) + ((((cube(x) * ((y * -0.08894029) + (x * -0.1563699))) / y) + 4446.3013) / (y + 111.83932))) + -25.799639"
