Complexity,Loss,Equation
1,6.1546993,"1.2700509"
3,1.3554301,"x + -9.97191"
5,1.2766486,"12.8907585 - (y * 0.24458686)"
6,1.0939412,"8.996837 - (square(y) * 0.003303607)"
7,0.050765518,"(y / (x / -1.9422046)) + 9.911332"
9,0.050154794,"(y / ((x + 0.37116656) / -2.034065)) + 10.009403"
11,0.0501546,"((y + -0.102973044) / ((x + 0.35525146) / -2.032334)) + 9.996213"
13,0.05015449,"(((-0.23901935 / y) + y) / ((x + 0.368677) / -2.0334165)) + 10.007685"
14,0.050152037,"((y / ((x + 0.34012455) / -2.0282784)) + 10.005786) + (100.11575 / exp(x))"
16,0.050149582,"((square(square(y)) / exp(y)) + 9.999289) + (y / ((x + 0.35012293) / -2.027874))"
17,0.050013836,"((y / ((x + 0.3303013) / -2.022123)) + 9.990107) + (75.51604 / cube(square(y - 10.395222)))"
19,0.049345337,"((y + (-2.0330808 / (((y / -1.4412462) + x) * x))) / ((x + 0.36993867) / -2.033244)) + 10.006374"
21,0.049343273,"((y + (-2.0330808 / ((x - -0.2879786) * ((y / -1.4412462) + x)))) / ((x + 0.36993867) / -2.033244)) + 10.006374"
27,0.04934289,"((y + (((y + -1.5884043e-5) / ((x + 0.36441612) / -2.0330808)) / (((y / -1.4412462) + x) * y))) / ((x + 0.36993867) / -2.033244)) + 10.006374"
29,0.049341854,"10.006374 + ((y + (((y + -1.6748799) / ((x + 0.36441612) / -2.0330808)) / (((y / -1.4412462) + x) * (y - 1.3630208)))) / ((x + 0.36993867) / -2.033244))"
