Complexity,Loss,Equation
1,1.3068196,"0.027546212"
3,1.1481551,"16.383347 / y"
4,0.3165279,"cube(26.66476 / y)"
5,0.27888972,"(112.899 / y) - 2.530449"
6,0.17705098,"cube(27.951963 / y) + -0.4029159"
7,0.072700314,"-3.0978856 - (-1540.9418 / (x * y))"
9,0.056551535,"-3.1172264 - (-1973.5101 / (y * (x - -2.967319)))"
11,0.004472822,"((y * -1.9412489) + ((19.906664 - x) * x)) / x"
13,0.0039832676,"(((19.771725 - x) * x) + (3.0303695 + (y * -1.9735497))) / x"
15,0.0038439664,"(((19.679316 - x) * x) + ((y * -2.0150955) + 6.054201)) / (x + 0.27236834)"
17,0.0038371729,"((((y * -2.0153975) + ((19.677692 - x) * x)) + 6.0875363) * 1.015653) / (x + 0.45453212)"
18,0.0038213483,"x * ((((y * -2.040457) + ((19.616549 - x) * x)) + 7.9687824) / square(x + 0.20720923))"
20,0.0038211816,"x * (((y * -2.0402386) + ((x * (19.616718 - x)) + 7.956566)) / (square(x + 0.18335675) + 0.51687825))"
22,0.003821171,"x * ((((y * -2.0402162) + (((19.616442 - x) * x) + 7.956518)) / (square(x + 0.18456885) + 0.48872367)) + 1.5499054e-5)"
24,0.0038209425,"((((y * -2.0320191) + 7.446609) + ((x * (19.625336 - x)) + square(square(x / y)))) * x) / square(x + 0.2046978)"
25,0.003820151,"(((x * ((19.613127 - x) + ((x / square(y)) / 1.1613294))) + (7.4458737 + (y * -2.0302572))) * x) / square(x + 0.20997202)"
26,0.0038200228,"((((((19.62209 - x) * x) + (-1.5526441 / (y * -0.273693))) + 7.4475217) + (y * -2.0335388)) / (square(x + 0.18411213) + 0.5175556)) * x"
28,0.0038198705,"(x * (((y * -2.0337102) + ((19.622816 - x) * x)) + ((-1.5526693 / ((y + -0.55495816) * -0.2735572)) + 7.447609))) / (square(x + 0.1853332) + 0.51762223)"
30,0.0038184547,"((y * 9.44466) + 5.2240486) + (((-0.093912706 - cube(square(-1.2875323) / (y - square(x)))) + ((-1.5373558 + y) * (-0.90266705 / x))) * (2.132143 - (x * -10.46735)))"
31,0.0038142335,"(((-0.093912706 - cube(1.1831075 / ((x + y) - square(x)))) + ((y + -1.5373558) * (-0.90266705 / x))) * (2.132143 - (x * -10.46735))) + ((y * 9.44466) + 5.2240486)"
33,0.003813505,"(((((-0.09387142 - cube(1.1848651 / ((x + y) - square(x)))) + (((y + -1.4593234) * -0.9010576) / x)) * (2.1315703 - (x * -10.46892))) + (y * 9.428957)) - -0.30544442) + 5.68481"
