Complexity,Loss,Equation
1,6.1546993,"1.2700846"
3,1.3554301,"x + -9.971932"
5,1.2766486,"(y * -0.2445848) + 12.890652"
6,0.38887984,"(square(x) / y) + -1.9104917"
7,0.05076552,"((y / x) * -1.942199) + 9.911308"
9,0.050154794,"((y / (x + 0.3708791)) * -2.033991) + 10.009312"
11,0.050154746,"(((-2.0314894 - (-0.70344955 / x)) / x) * y) + 10.008668"
13,0.050154347,"(((y * (-2.0295675 - (-0.6761226 / x))) + 0.14400211) / x) - -9.998526"
16,0.050151717,"(((-2.0225608 - (-0.6121187 / x)) * (y / x)) + (125.21428 / exp(x))) - -10.002711"
18,0.050149232,"((((y / exp(y)) + (-0.0066458345 - (-0.0022872882 / x))) * (y / x)) * 305.57822) - -10.007552"
19,0.050001744,"((y / x) * ((exp(103.23658 / x) / exp(y)) + (-2.0208983 - (-0.63201183 / x)))) - -9.991164"
21,0.05000174,"((y / x) * ((exp(103.23585 / x) / (exp(y) + -2.0207577)) + (-2.0209115 - (-0.63197124 / x)))) + 9.991278"
33,0.04997393,"(((-1.0404232 - exp(((y / x) - 2.1095011) / (-1.5303841 - y))) * (y - (((-562328.8 / square(x)) / exp(y)) * (-249508.11 / exp(x * 0.86475176))))) / x) - -10.1284895"
34,0.04997225,"((y - (((-239410.77 / exp(y)) * y) * ((-443041.9 / exp(y)) / (x - 4.290287)))) * ((-1.0441434 - exp(((y / x) - 1.9348878) / (0.40274152 - y))) / x)) - -10.12028"
35,0.049968984,"(((y - ((y * (((-443041.9 / exp(y)) * -239410.77) / exp(x + 0.29373175))) / square(y))) * (-1.0411938 - exp(((y / x) - 2.1869495) / (0.4318239 - y)))) / x) - -10.129869"
36,0.049877755,"((-1.0384403 - exp(((y / x) - 2.1166184) / (-1.5301716 - y))) * ((y - ((((-562328.8 / exp(x)) / exp(y)) * -249508.11) / ((1.5673394 / cube(x)) * exp(x)))) / x)) - -10.119688"
38,0.049819183,"((y - (((-463076.62 / exp(x)) / exp(y)) * (-218780.31 / ((exp(x) * (x + -6.1176744)) / cube(y))))) * ((-1.0397539 - exp(((y / x) - 2.221596) / (-0.43766594 - y))) / x)) - -10.1303"
