Complexity,Loss,Equation
1,1.3068196,"0.027551519"
3,1.1481551,"16.383347 / y"
4,0.3165279,"18958.979 / cube(y)"
5,0.27888972,"(112.89912 / y) - 2.5304518"
6,0.17705098,"cube(27.95197 / y) - 0.40291724"
7,0.048762552,"(x * -0.27159336) - (-136.59079 / y)"
9,0.004472816,"19.906607 - (x + ((y * 1.9412413) / x))"
11,0.003823525,"20.007729 - (x + ((y / (x + 0.3829871)) * 2.0359964))"
13,0.0038216317,"19.97766 - (((2.0384953 / (x + 0.4059892)) * y) + (x * 0.9980201))"
15,0.0038216133,"(((y + 0.14877163) * -2.0400465) / (x - -0.41210544)) + (10.612951 - (-9.415539 + x))"
17,0.003821294,"((((-0.46569645 / y) + -2.0421314) / (x - -0.42728853)) * y) + (10.618469 - (x + -9.421058))"
19,0.0038211609,"(10.617465 - (x + -9.420056)) + ((((-0.46628213 / (y + 1.0087035)) + -2.0413089) * y) / (x - -0.42436618))"
20,0.003812802,"((-2.0266876 * (y / (x - -0.33615935))) + (10.598965 - (x + -9.403139))) + cube(cube(y / square(x)))"
31,0.0038044865,"(((y * -2.4603877) / (x - -0.3827575)) / 1.2086792) + (14.270296 - ((x + -5.735987) - (((y / x) / (y / 0.010608474)) / ((-2.4603877 - y) - (y * -1.0865823)))))"
33,0.0038043957,"((((y * -2.4603877) / (x - -0.3827575)) / 1.2086792) + 14.270296) - ((x + -5.735987) - ((((y + -1.473183) / x) / (y / 0.010608474)) / ((-2.4603877 - y) - (-1.0865823 * y))))"
34,0.0038042227,"((((y * -2.4603877) / (x - -0.3827575)) / 1.2086792) + 14.270296) - ((x - ((((0.05432589 / ((-2.4603877 - y) - (-1.0865823 * y))) * x) / y) / (square(y) / x))) + -5.735987)"
36,0.0038040713,"(((y * -2.4603877) / (x - -0.3827575)) / 1.2086792) + (14.270296 - ((x - (((((x * 0.05432589) / ((-2.4603877 - y) - (y * -1.0865823))) - -0.6922863) / y) / (square(y) / x))) + -5.735987))"
38,0.0038040644,"(((y * -2.4603877) / (x - -0.3827575)) / 1.2086792) + (14.270296 - ((x - (((((x - -0.3827575) * (0.05432589 / ((-2.4603877 - y) - (y * -1.0865823)))) - -0.6922863) / y) / (square(y) / x))) + -5.735987))"
