Complexity,Loss,Equation
1,1.3068196,"0.02754334"
3,1.1481551,"16.383347 / y"
4,0.3165279,"18957.678 / cube(y)"
5,0.27888972,"(112.899155 / y) + -2.5304523"
6,0.17705098,"cube(27.951967 / y) + -0.40291667"
7,0.072700314,"(1540.9089 / (x * y)) + -3.0978124"
9,0.056699548,"(1934.5848 / (y * (x - -2.7324247))) + -3.1081595"
11,0.04277891,"(2439.7905 / ((x * y) + (752.2754 / x))) + -4.260834"
13,0.041548446,"(2059.9023 / ((813.7828 / x) + (-34.72988 + (x * y)))) + -3.803974"
17,0.041406292,"(2138.9722 / (((832.65955 / x) + -30.518349) + (y * x))) + (-3.880858 - (0.25304306 / x))"
18,0.04120298,"(2093.2722 / (((y * x) + (778.845 / x)) + -28.949093)) + (-3.7735066 - square(2.895563 / x))"
19,0.039472874,"(2093.3271 / (((x * y) + (779.10144 / x)) + -29.225576)) + (-3.803627 - cube(square(6.266699 / x)))"
20,0.035672378,"(-3.7496634 - square(1.5277861 - (x / 8.092313))) + (2092.6682 / ((x * y) + ((778.8655 / x) + -28.696339)))"
22,0.03510556,"(-3.7039976 - (square((x / 8.490366) - 1.464628) * 1.507586)) + (2093.2378 / ((x * y) + ((778.8655 / x) + -28.678587)))"
24,0.03503947,"((-4.2277675 - (square(1.4670541 - (x / 8.482722)) * 1.542503)) + (2093.237 / (((x * y) + (778.86566 / x)) + -28.674734))) - -0.51996833"
26,0.035038386,"((-3.6571305 - (square(1.4678276 - (x / 8.475784)) * 1.5603842)) + ((2093.2397 / (((x * y) + (778.86523 / x)) + -28.684393)) - -0.49699682)) - 0.54676014"
31,0.034888804,"((y * (255.93936 - square(x + (x + (y / -0.5458703))))) / square(cube(x))) + ((square((-18.985678 / y) + -2.7660956) + -6.850444) - ((x / 22.918472) / 0.15628836))"
33,0.034880422,"((y * (255.93936 - square(x + ((x - 0.7588711) + (y / -0.5458703))))) / cube(square(x))) + (square((-18.985678 / y) + -2.7660956) + (-6.850444 - ((x / 22.918472) / 0.15628836)))"
34,0.034842417,"((-6.853174 - ((x / 22.91776) / 0.15242475)) + (square((-18.98585 / y) + -2.7504318) + (((square(x) - square(x + ((y / -0.52510124) + x))) * y) / cube(square(x))))) - -0.20153463"
35,0.03468292,"((-6.853174 - ((x / 22.91776) / 0.15242475)) + (square((-18.98585 / y) + -2.7504318) + (((x - square(x + (x + (y / -0.52510124)))) * (y + -2.8353508)) / square(cube(x))))) - -0.1901455"
36,0.034678325,"(-6.853174 - ((x / 22.91776) / 0.15242475)) + (square((-18.98585 / y) + -2.7504318) + (((cube(x) - (square((x + x) + (y / -0.52510124)) * (y + -2.8353508))) / square(cube(x))) - -0.1901455))"
37,0.033482797,"(((((x / 0.18564695) - square(x + (x + (y / -0.433583)))) * (y + -22.79443)) / square(cube(x))) + ((-6.8633404 - ((x / 22.911636) / 0.1587054)) + square((-18.995903 / y) + -2.7311804))) - -0.17997938"
