Complexity,Loss,Equation
1,6.1546993,"1.2699945"
3,1.3554301,"x - 9.971915"
5,1.2766486,"(y * -0.24457954) + 12.890393"
6,0.38887984,"(square(x) / y) + -1.9105097"
7,0.050765518,"9.911293 - ((y * 1.9421957) / x)"
9,0.050154794,"10.009413 - (y * (2.0340796 / (x + 0.3712241)))"
11,0.050154746,"((y * ((0.7036091 / x) + -2.0315113)) / x) + 10.008682"
15,0.05011412,"9.904149 - (((y * 1.9407638) - cube(1.1698277 / cube(y + -11.99127))) / x)"
17,0.049964774,"9.873384 - (((y * 1.9488381) - (0.7270851 + (1.5992761 / cube(cube(y + -11.98336))))) / x)"
19,0.04979581,"10.04462 - (((y * 2.0681174) - ((y / x) + (1.2697765 / cube(cube(y + -11.984785))))) / x)"
21,0.049634766,"10.011037 - (((y * 2.0344794) - ((y / x) * ((0.98987895 / cube(cube(y + -11.991863))) + 0.72812086))) / x)"
23,0.049634572,"10.011077 - (((y * 2.0344334) - (((y / x) * 0.72812927) + ((1.3813632 + 0.03665677) / cube(cube(-11.991954 + y))))) / x)"
24,0.049624562,"10.000785 - (((y * 2.030887) - (((3.4243727 / square(cube(square(y + -11.861566)))) + 0.73937196) * (y / (x - -0.36286125)))) / x)"
25,0.049610775,"((-0.63683605 / y) + 10.034402) - (((y * 2.0361078) - ((cube(cube(1.2159038 / (y + -11.891147))) + (y / x)) * 0.72410953)) / x)"
27,0.049608234,"((-0.63667667 / (-2.2414896 + y)) - (((2.0361137 * y) - (cube(cube(1.1919255 / (y + -11.872894))) + ((y / x) * 0.7189116))) / x)) + 10.036813"
28,0.049573485,"((-0.63946694 / square(10.037986 - y)) - (((y * 2.0324125) - (cube(cube(1.2260562 / (y + -11.851541))) + ((y / x) * 0.7213001))) / x)) + 10.005142"
30,0.049497303,"(cube(2.032362 / (y + -11.850014)) * -0.051885035) + (10.011659 - (((y * 2.0330422) - (((y / x) * 0.7130246) + cube(cube(1.3083175 / (y + -11.8289385))))) / x))"
32,0.04949554,"((((y * -0.051824413) * cube(1.8885174 / (y + -11.853436))) - ((y * 2.0383205) - ((y / x) * (cube(cube(1.2380662 / (y + -11.853436))) + 0.7574658)))) / x) + 10.016065"
36,0.049483612,"(((((x / square(y + -11.838804)) * (-0.24195667 / y)) * 22.23759) - ((y * 2.0344577) - (((y - -0.07698486) / x) * (cube(cube(1.2396932 / (y + -11.838804))) + 0.7196782)))) / x) + 10.015221"
37,0.049483377,"(((square(1.5850067 / (y + -11.838804)) * cube(-1.3662997 / y)) * (y * 10.015221)) - (((y * 2.0344577) - ((y / x) * (cube(cube(1.2396932 / (y + -11.838804))) + 0.7196782))) / x)) + 10.015221"
38,0.04948294,"(((square(1.2396932 / (y + -11.838804)) * ((-0.24195667 / y) * (y * 10.015221))) - ((y * 2.0344577) - (((y - -0.18236277) / x) * (cube(cube(1.2396932 / (y + -11.838804))) + 0.7196782)))) / x) + 10.015221"
40,0.04947938,"(((cube((1.4246452 / y) + (1.2360132 / (y + -11.8335705))) * (((x / y) * y) * -0.23518494)) - ((y * 2.0346785) - ((y / x) * (cube(cube(1.264437 / (y + -11.836105))) + 0.71992284)))) / x) + 10.016499"
