Complexity,Loss,Equation
1,1.3068196,"0.027545957"
3,1.1481551,"16.383347 / y"
4,0.3165279,"18959.09 / cube(y)"
5,0.27888972,"(112.89925 / y) + -2.530455"
6,0.17705098,"-0.40294802 - (-21841.096 / cube(y))"
7,0.04876255,"(136.59085 / y) + (x * -0.27159375)"
9,0.004472818,"(((y * -1.9412479) / x) - x) + 19.906658"
11,0.0039832685,"(((1.9735299 / x) * (1.5356725 - y)) + 19.7716) - x"
13,0.0038216342,"(-0.9979976 * x) + (19.977425 + ((y / (x + 0.40643135)) * -2.0385835))"
15,0.0038216305,"((((y / (x + 0.40645522)) * -2.0259) + (x * -0.9917928)) + 19.853167) * 1.0062325"
16,0.0038214053,"((x * -0.99820966) + (((-2.03534 / x) + (0.763156 / square(x))) * y)) + 19.979765"
17,0.0038189103,"(((y * (-2.0182867 / (x + 0.389518))) + (x * -0.9923976)) + (1.215528 / y)) + 19.813498"
18,0.0038161767,"(x * -0.99672234) + (((((6.5616746 / exp(x)) + -0.0049641994) + (-1.9121794 / x)) * y) + 19.962696)"
20,0.0038161522,"(x * -0.99672234) + ((y * (((-1.9121794 / x) + (6.5616746 / (exp(x) + -15.638643))) + -0.0049641994)) + 19.962696)"
21,0.0038122889,"((y * (((cube(y) / (exp(x) / 5.8496338e-5)) + -0.0043293373) + (-1.9211638 / x))) + (x * -0.9989065)) + 19.994474"
23,0.0038088646,"(x * -0.99796087) + (((((-1.9115683 / x) + (exp(y / x) / (exp(x) / 0.019205473))) + -0.0050487625) * y) + 19.98285)"
25,0.003808835,"((((-1.9105445 / x) + ((exp(y / x) / (exp(x) / 0.018966684)) + -1.0051394)) * y) + ((x * -0.997717) + 19.979967)) + y"
27,0.0038088064,"y + (((x * -0.9975079) + 19.976402) + (y * ((-1.9100226 / x) + ((exp((y / x) + -0.79565096) / (exp(x) / 0.04169121)) + -1.0051606))))"
29,0.0038048148,"(x * -0.99632066) + ((y * (((-1.9015887 / x) + ((cube(cube(y / x) - y) / (exp(x) / 0.013629789)) / exp(x))) + -0.005828415)) + 19.9619)"
30,0.0038040448,"((x * -0.99629337) + 19.962614) + (y * ((-1.9005517 / x) + (((cube(cube(y / x) - square(x)) / (exp(x) / 0.026699102)) / exp(x)) + -0.0059330803)))"
36,0.0038033568,"(x * -0.99537766) + ((((((((cube(square((y / x) - cube(y / x))) / (exp(x) / 8.085978e-9)) / (exp(x) + -0.4458639)) + -1.897764) / x) + 0.9938641) * y) + 19.949402) - y)"
