Complexity,Loss,Equation
1,1.3068196,"0.027716676"
3,1.1481551,"16.383347 / y"
4,0.3165279,"18957.596 / cube(y)"
5,0.27888972,"(112.89947 / y) + -2.530459"
6,0.17705098,"(21841.049 / cube(y)) + -0.40295178"
7,0.072700314,"-3.097886 - ((-1540.9395 / y) / x)"
9,0.00447282,"(19.906715 - ((y * 1.9412589) / x)) - x"
11,0.0038235264,"(y * (-2.0359273 / (x + 0.38271096))) - (x + -20.007654)"
13,0.0038213502,"((-0.19984016 - y) * (2.0413382 / (x - -0.4216693))) - (x + -20.035557)"
15,0.0038213488,"((-0.39217427 / x) - ((y * 2.0415869) / (x + 0.4232247))) - (x + -20.03536)"
17,0.0038190146,"((0.99326974 / y) - ((y * 2.022183) / (x + 0.39426142))) - ((x + -19.975443) * 0.9932981)"
18,0.003819008,"((y / square(y)) - ((y * 2.0220876) / (x + 0.39433852))) - ((x + -19.975225) * 0.9932518)"
20,0.0038187301,"(((x + 0.9254797) / square(y)) - ((y * 2.021949) / (x + 0.39615777))) - ((x + -19.988644) * 0.9932062)"
