Complexity,Loss,Equation
1,1.3068196,"0.027545244"
3,1.1481551,"16.383347 / y"
4,0.3165279,"cube(26.664833 / y)"
5,0.2788897,"(112.89948 / y) - 2.5304577"
6,0.13573453,"cube(y + -42.023857) * -0.00030217916"
7,0.04876255,"(136.59077 / y) - (x * 0.2715938)"
9,0.0044728178,"(((y * -1.9412427) / x) - x) + 19.906635"
11,0.0038235255,"(((y * -2.035986) / (x + 0.3829447)) - x) + 20.007717"
13,0.003821633,"((y * (-2.042596 / (x + 0.4061948))) + (20.017372 - x)) / 1.0020378"
19,0.0038178144,"((((-2.0133078 / square(y)) - -3.322645e-6) * (cube(y) / (x + (2.091387 / x)))) - x) + 20.019121"
21,0.0038177758,"(((-2.0137818 / square(y)) - -3.360435e-6) * (cube(y) / ((2.091382 / x) + x))) + ((20.01884 - x) * 1.000222)"
23,0.0038177473,"((((-2.0132256 / square(y)) - -3.2487717e-6) / ((2.0915082 / (x + 0.03495276)) + x)) * cube(y)) + ((20.017904 - x) * 1.0002548)"
24,0.0038177078,"((((-2.0136392 / square(y)) - (x / exp(y))) - -3.320928e-6) * (cube(y) / ((2.1014645 / x) + x))) + (20.019802 - x)"
25,0.0038163038,"20.016754 + ((((((-2.0118303 / square(y)) - (exp(y) / exp(y))) - -1.000003) / (x + (2.0909827 / x))) * cube(y)) - x)"
27,0.0038162384,"((cube(y) * ((((-2.0118303 / square(y)) - ((exp(y) + 6.1678944) / exp(y))) - -1.000003) / ((2.0909827 / x) + x))) - x) + 20.016754"
29,0.0038162186,"(20.016754 - x) + (cube(y) * ((((-2.0118303 / square(y)) - (((exp(y) + x) - 2.0909827) / exp(y))) - -1.000003) / ((2.0909827 / x) + x)))"
